"","id","site","location","latitude","longitude","depth","temperature","total_length","total_weight","age","logTL","logDepth","logAge","logTW"
"27","027-Co-16/07/10","PuertoAventuras","Castillo",20.49555556,-87.22,12.5,28,58,2.1,0.278875567558685,4.06044301054642,2.52572864430826,-1.27698959105918,0.741937344729377
"28","028-Pg-17/07/10","PuertoAventuras","Pedregal",20.50694444,-87.20388889,14.9,28,142,34.7,0.578901815439519,4.95582705760126,2.70136121295141,-0.546622391886343,3.54673968695281
"29","029-Pg-17/07/10","PuertoAventuras","Pedregal",20.50694444,-87.20388889,14.4,28,123,19.9,0.503775650539448,4.81218435537242,2.66722820658195,-0.685624247832573,2.99071973173045
"30","030-Pg-17/07/10","PuertoAventuras","Pedregal",20.50694444,-87.20388889,14.8,28,245,177.8,1.10485083790216,5.50125821054473,2.69462718077007,0.0997103375341346,5.1806593230798
"31","031-Cu-17/07/10","PuertoAventuras","Cuevitas",20.477743,-87.243813,12.6,28,129,22.4,0.526967550120365,4.85981240436167,2.53369681395743,-0.64061630706074,3.10906095886099
"32","032-Ta-18/07/10","Akumal","Tzimin-Ha",20.392828,-87.306619,24.6,28,271,276.2,1.28762318787722,5.6021188208797,3.20274644293832,0.252798028883362,5.62112524097519
"33","033-Ta-18/07/10","Akumal","Tzimin-Ha",20.392828,-87.306619,21.2,28,264,197.6,1.23545307275895,5.57594910314632,3.05400118167797,0.211437763336632,5.28624478531377
"34","034-Ss-18-07-10","PuertoAventuras","Santos",20.49305556,-87.22166667,26.6,29,277,237.8,1.33432963751989,5.62401750618734,3.28091121578765,0.288429021555749,5.47142998425668
"35","035-Ss-18/07/10","PuertoAventuras","Santos",20.49305556,-87.22166667,5.7,29,64,2.6,0.297868159574299,4.15888308335967,1.7404661748405,-1.21110430790815,0.955511445027436
"36","036-Po-19/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,15.3,29,136,22,0.554636901268418,4.91265488573605,2.72785282839839,-0.589441611287607,3.09104245335832
"37","037-Po-19/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,14.5,29,136,27.9,0.554636901268418,4.91265488573605,2.67414864942653,-0.589441611287607,3.32862668882732
"38","038-Cs-19/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,18,29,80,5.7,0.350123970076371,4.38202663467388,2.89037175789616,-1.04946798699456,1.7404661748405
"39","039-Cs-19/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,19,29,78,5,0.343459061607737,4.35670882668959,2.94443897916644,-1.06868735460351,1.6094379124341
"40","040-Cs-19/07/10","PuertoAventuras","Canones",20.47694444,-87.23277778,20,29,123,21.2,0.503775650539448,4.81218435537242,2.99573227355399,-0.685624247832573,3.05400118167797
